,,,,,,,,,,,
,cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
,Volcanic Dragon,Magic 2012,1,1,0.22,0.35,trollandtoad,cardkingdom,1,15,%
,Rhystic Circle,Prophecy,1,1,0.2,0.36,cardkingdom,tcgplayer,11,,%
,Vithian Renegades,Alara Reborn,1,1,0.2,0.35,cardkingdom,channelfireball,20,0,%
,Grapeshot Catapult,Seventh Edition,1,1,0.16,0.44,cardkingdom,tcgplayer,15,,%
,Luminesce,Coldsnap,1,1,0.16,0.41,cardkingdom,tcgplayer,12,,%
,Nightcreep,Dissension,1,1,0.16,0.46,cardkingdom,tcgplayer,12,,%
,Paladin of Prahv,Dissension,1,1,0.16,0.44,cardkingdom,tcgplayer,13,,%
,Skarrgan Skybreaker,Guildpact,1,1,0.16,0.35,cardkingdom,channelfireball,5,9,%
,Retaliator Griffin,Alara Reborn,0,1,0.14,0.35,trollandtoad,cardkingdom,1,29,%
,Writ of Passage,Dissension,1,1,0.14,0.25,trollandtoad,channelfireball,2,9,%
,Shielding Plax,Dissension,1,1,0.12,0.39,abugames,cardkingdom,99,14,%
,Shifting Sky,Planeshift,1,1,0.12,0.35,cardkingdom,channelfireball,10,1,%
,Asha's Favor,Conflux,1,1,0.11,0.25,trollandtoad,channelfireball,2,4,%
,Wirewood Elf,Onslaught,1,1,0.11,0.35,trollandtoad,cardkingdom,2,17,%
,Angel's Herald,Shards of Alara,1,1,0.1,0.33,Bulk,tcgplayer,99,,%
,Battering Wurm,Guildpact,1,1,0.1,0.32,Bulk,tcgplayer,99,,%
,Bramblecrush,Innistrad,1,2,0.1,0.35,Bulk,channelfireball,99,2,%
,Cackling Flames,Dissension,1,1,0.1,0.25,Bulk,channelfireball,99,15,%
,Calciderm,Eternal Masters,1,1,0.1,0.35,Bulk,cardkingdom,99,17,%
,Colossal Whale,Magic 2014 Core Set,0,1,0.1,0.25,Bulk,cardkingdom,99,23,%
,Daggerclaw Imp,Guildpact,1,1,0.1,0.35,Bulk,tcgplayer,99,,%
,Dispeller's Capsule,Shards of Alara,1,1,0.1,0.25,Bulk,channelfireball,99,12,%
,Divine Verdict,Magic 2013,1,1,0.1,0.26,Bulk,tcgplayer,99,,%
,Duergar Assailant,Eventide,1,1,0.1,0.28,Bulk,tcgplayer,99,,%
,Elvish Scrapper,Onslaught,1,1,0.1,0.35,Bulk,cardkingdom,99,15,%
,Enigma Eidolon,Dissension,1,1,0.1,0.3,Bulk,tcgplayer,99,,%
,Entropic Eidolon,Dissension,1,1,0.1,0.3,Bulk,tcgplayer,99,,%
,Fade into Antiquity,Theros,1,1,0.1,0.25,Bulk,channelfireball,99,20,%
,Fencer's Magemark,Guildpact,1,1,0.1,0.25,Bulk,channelfireball,99,12,%
,Flamewave Invoker,Legions,1,1,0.1,0.25,Bulk,channelfireball,99,3,%
,Frost Raptor,Coldsnap,1,1,0.1,0.25,Bulk,tcgplayer,99,,%
,Frozen Solid,Coldsnap,1,1,0.1,0.25,Bulk,channelfireball,99,16,%
,Gift of the Gargantuan,Shards of Alara,1,1,0.1,0.25,Bulk,tcgplayer,99,,%
,Gobhobbler Rats,Dissension,1,1,0.1,0.28,Bulk,tcgplayer,99,,%
,Havengul Vampire,Avacyn Restored,1,1,0.1,0.35,Bulk,tcgplayer,99,,%
,Helium Squirter,Modern Masters 2015 Edition,1,1,0.1,0.25,Bulk,channelfireball,99,20,%
,Hunting Kavu,Invasion,1,1,0.1,0.39,Bulk,cardkingdom,99,14,%
,Kessig Wolf,Innistrad,1,1,0.1,0.23,Bulk,tcgplayer,99,,%
,Kjeldoran Javelineer,Coldsnap,1,2,0.1,0.25,Bulk,channelfireball,99,20,%
,Lingering Death,Scourge,1,1,0.1,0.25,Bulk,channelfireball,99,9,%
,Obelisk of Grixis,Shards of Alara,1,1,0.1,0.32,Bulk,tcgplayer,99,,%
,Ogre Savant,Guildpact,1,1,0.1,0.25,Bulk,channelfireball,99,10,%
,Orcish Bloodpainter,Coldsnap,1,1,0.1,0.25,Bulk,channelfireball,99,20,%
,Pith Driller,New Phyrexia,1,1,0.1,0.25,Bulk,tcgplayer,99,,%
,Plague Spores,Invasion,1,1,0.1,0.27,Bulk,tcgplayer,99,,%
,Ridge Rannet,Shards of Alara,1,1,0.1,0.24,Bulk,tcgplayer,99,,%
,Ruthless Cullblade,Worldwake,1,1,0.1,0.3,Bulk,tcgplayer,99,,%
,Savage Gorilla,Apocalypse,1,1,0.1,0.34,Bulk,tcgplayer,99,,%
,Scoria Elemental,Scars of Mirrodin,1,1,0.1,0.24,Bulk,tcgplayer,99,,%
,Skullmead Cauldron,Dissension,1,1,0.1,0.35,Bulk,channelfireball,99,10,%
,Smogsteed Rider,Guildpact,1,1,0.1,0.35,Bulk,channelfireball,99,12,%
,Smoldering Crater,Beatdown Box Set,0,1,0.1,0.27,channelfireball,tcgplayer,6,,%
,Spined Thopter,New Phyrexia,1,2,0.1,0.27,Bulk,tcgplayer,99,,%
,Steamcore Weird,Guildpact,1,2,0.1,0.25,Bulk,channelfireball,99,11,%
,Stingscourger,Planar Chaos,1,1,0.1,0.35,Bulk,cardkingdom,99,13,%
,Taste for Mayhem,Dissension,1,1,0.1,0.29,Bulk,channelfireball,99,6,%
,Terraformer,Ravnica: City of Guilds,1,1,0.1,0.25,Bulk,channelfireball,99,20,%
