Cardname,Edition,Foil,Qty
"Kytheon, Hero of Akros",Magic Origins,True,1
Auramancer,Magic Origins,True,1
Sylvan Caryatid,Buy a Box Promos,True,1
Utter End,Magic Game Day Promos,False,3
Ghost Quarter,Innistrad,False,4
